IDPatrimostat;IDMuseofile;region;departement;dateappellation;ferme;anneefermeture;nom_du_musee;lien_avec;ville;codeInseeCommune;annee;payant;gratuit;total;individuel;scolaires;groupes_hors_scolaires;moins_18_ans_hors_scolaires;_18_25_ans
0105301;M0963;Auvergne-Rhône-Alpes;Ain;01/02/2003;NON;;musée de Brou;;BOURG EN BRESSE;01053;2014;53088;41560;94648;;;;5186;2157
0105301;M0963;Auvergne-Rhône-Alpes;Ain;01/02/2003;NON;;musée de Brou;;BOURG EN BRESSE;01053;2015;76918;35942;112860;;;;;
0105301;M0963;Auvergne-Rhône-Alpes;Ain;01/02/2003;NON;;musée de Brou;;BOURG EN BRESSE;01053;2016;74138;24813;98951;;;;;
0105301;M0963;Auvergne-Rhône-Alpes;Ain;01/02/2003;NON;;musée de Brou;;BOURG EN BRESSE;01053;2017;73396;23736;97132;77065;11265;8802;6139;2861
0105301;M0963;Auvergne-Rhône-Alpes;Ain;01/02/2003;NON;;musée de Brou;;BOURG EN BRESSE;01053;2018;62284;35932;98216;85110;9067;4039;6714;2807
0105301;M0963;Auvergne-Rhône-Alpes;Ain;01/02/2003;NON;;musée de Brou;;BOURG EN BRESSE;01053;2019;61957;36153;98110;76184;10343;11583;7589;3164
0105301;M0963;Auvergne-Rhône-Alpes;Ain;01/02/2003;NON;;musée de Brou;;BOURG EN BRESSE;01053;2020;28135;16495;44630;40257;2566;1807;;
0105301;M0963;Auvergne-Rhône-Alpes;Ain;01/02/2003;NON;;musée de Brou;;BOURG EN BRESSE;01053;2021;43734;26080;69814;61816;4384;3614;5583;2397
0105301;M0963;Auvergne-Rhône-Alpes;Ain;01/02/2003;NON;;musée de Brou;;BOURG EN BRESSE;01053;2022;48780;33662;82442;71627;7769;3046;5462;3401
0105301;M0963;Auvergne-Rhône-Alpes;Ain;01/02/2003;NON;;musée de Brou;;BOURG EN BRESSE;01053;2023;56375;41106;97481;81671;10305;5505;6382;4199
0105302;M0964;Auvergne-Rhône-Alpes;Ain;01/02/2003;NON;;musées des pays de l'Ain;;BOURG EN BRESSE;01053;2014;0;0;0;0;0;0;0;0
0105302;M0964;Auvergne-Rhône-Alpes;Ain;01/02/2003;NON;;musées des pays de l'Ain;;BOURG EN BRESSE;01053;2015;0;0;0;0;0;0;0;0
0105302;M0964;Auvergne-Rhône-Alpes;Ain;01/02/2003;NON;;musées des pays de l'Ain;;BOURG EN BRESSE;01053;2016;0;80;80;80;0;0;0;0
0105302;M0964;Auvergne-Rhône-Alpes;Ain;01/02/2003;NON;;musées des pays de l'Ain;;BOURG EN BRESSE;01053;2017;0;68;68;68;0;0;12;
0105302;M0964;Auvergne-Rhône-Alpes;Ain;01/02/2003;NON;;musées des pays de l'Ain;;BOURG EN BRESSE;01053;2018;0;0;0;0;0;0;0;0
0105302;M0964;Auvergne-Rhône-Alpes;Ain;01/02/2003;NON;;musées des pays de l'Ain;;BOURG EN BRESSE;01053;2019;0;0;0;0;0;0;0;0
0105302;M0964;Auvergne-Rhône-Alpes;Ain;01/02/2003;NON;;musées des pays de l'Ain;;BOURG EN BRESSE;01053;2020;0;0;0;0;0;0;0;0
